ID,大分類,中分類,打ち手,概要・補足,フェーズ,インパクト,実行容易性,優先度
204,5. 集客,5-6. 提携・チャネルパートナー,美容院 / ネイルサロンとの提携,待ち時間に試飲。ビューティー層へのリーチ,Phase 2,,,
205,5. 集客,5-6. 提携・チャネルパートナー,不動産 / インテリアショップとの提携,ライフスタイル文脈。缶のインテリア性と合致,Phase 3,,,
206,6. 継続,6-1. チャーン防止,スキップ機能（今月休む）,解約ではなくスキップで済む。decided.mdで計画済み,Phase 1,,,
207,6. 継続,6-1. チャーン防止,配送頻度変更（毎月→隔月）,ライトユーザーの離脱防止。decided.mdで計画済み,Phase 1,,,
208,6. 継続,6-1. チャーン防止,量の変更（60g→30g）,「多すぎて余る」が解約理由上位。decided.mdで計画済み,Phase 1,,,
209,6. 継続,6-1. チャーン防止,一時停止（最大3ヶ月）,旅行・体調不良等の一時的な中断に対応。decided.mdで計画済み,Phase 1,,,
210,6. 継続,6-1. チャーン防止,解約理由ヒアリング→即カウンターオファー,解約フロー内で代替案を提示。データ収集にもなる,Phase 1,,,
211,6. 継続,6-1. チャーン防止,解約前のダウングレード提案,安いプラン or 少ない量への移行提案,Phase 1,,,
212,6. 継続,6-1. チャーン防止,「飲みきれない」対策レシピ同梱,ラテ・菓子等で消費促進。余らせない工夫,Phase 1,,,
213,6. 継続,6-2. エンゲージメント強化,月替わりのペアリング提案カード同梱,毎月の小さな驚き。一期一会の体現,Phase 1,,,
214,6. 継続,6-2. エンゲージメント強化,季節の茶銘・ストーリーカード同梱,抹茶の文化的背景を毎月少しずつ伝える,Phase 1,,,
215,6. 継続,6-2. エンゲージメント強化,会員限定コンテンツ（先行予約・限定フレーバー）,サブスク会員の特別感。ロイヤルティ強化,Phase 2,,,
216,6. 継続,6-2. エンゲージメント強化,コミュニティ運営（Discord / LINE / アプリ）,ファン同士のつながり。UGC促進,Phase 2,,,
217,6. 継続,6-2. エンゲージメント強化,マイレージ / ポイントプログラム,継続購入でポイント蓄積。限定品と交換等,Phase 2,,,
218,6. 継続,6-2. エンゲージメント強化,飲用記録アプリ（ゲーミフィケーション）,毎日の抹茶記録。連続記録でバッジ等。習慣化促進,Phase 3,,,
219,6. 継続,6-2. エンゲージメント強化,サプライズ同梱（不定期おまけ）,茶菓子・ステッカー・新フレーバーサンプル等。期待感,Phase 1,,,
220,6. 継続,6-2. エンゲージメント強化,定期的な顧客アンケート→反映報告,「あなたの声で改善しました」の発信。参加感,Phase 1,,,
221,6. 継続,6-3. アップセル / クロスセル,サブスク開始後に茶碗をレコメンド,「マグカップ→茶碗」の導線を収益化,Phase 2,,,
222,6. 継続,6-3. アップセル / クロスセル,2銘柄目の缶を提案,「次はこの産地」。缶コレクションの拡大,Phase 2,,,
223,6. 継続,6-3. アップセル / クロスセル,季節限定フレーバーの追加購入提案,通常サブスクに追加で1つ。限定感で衝動購入,Phase 2,,,
224,6. 継続,6-3. アップセル / クロスセル,茶筅の買い替え提案,3-6ヶ月で交換推奨。定期的な追加収益,Phase 2,,,
225,6. 継続,6-3. アップセル / クロスセル,ギフト購入の提案,「お友達にも一缶いかがですか」。既存顧客経由の新規獲得,Phase 1,,,
226,6. 継続,6-3. アップセル / クロスセル,ペアリング商品の同梱オプション,+¥500で和菓子付き等。客単価UP,Phase 2,,,
227,7. コスト,7-1. 原材料コスト,大量仕入れによる単価低減,スケールメリット。月産量が増えるほど効く,Phase 2,,,
228,7. コスト,7-1. 原材料コスト,産地の分散（鹿児島メイン+宇治プレミアム）,鹿児島は生産量日本一でコスト競争力あり,Phase 1,,,
229,7. コスト,7-1. 原材料コスト,碾茶の直接仕入れ（中間業者カット）,農家との直接取引。マージン削減,Phase 2,,,
230,7. コスト,7-1. 原材料コスト,契約農家との長期固定価格契約,価格変動リスクのヘッジ。安定調達,Phase 2,,,
231,7. コスト,7-1. 原材料コスト,二番茶 / 秋冬番茶の活用,ラテ用・製菓用に。一番茶より大幅に安い,Phase 2,,,
232,7. コスト,7-1. 原材料コスト,海外原料の活用（中国・韓国産）,エントリーラインに限定。ブランド毀損に注意,Phase 3,,,
233,7. コスト,7-2. 製造コスト,OEM先の相見積もり・見直し,複数社から見積もりを取り最適化,Phase 1,,,
234,7. コスト,7-2. 製造コスト,製粉の内製化,月産100kg超えたら検討。品質コントロール強化にも,Phase 3,,,
235,7. コスト,7-2. 製造コスト,複数OEM並行利用,リスク分散＋価格交渉力の確保,Phase 2,,,
236,7. コスト,7-2. 製造コスト,充填・包装の自動化,手作業の効率化。月100件超で検討,Phase 2,,,
237,7. コスト,7-3. 包材コスト,缶の大量発注（MOQ増で単価低減）,¥800→¥400-500へ。ロット数との兼ね合い,Phase 2,,,
238,7. コスト,7-3. 包材コスト,パウチの大量発注,リフィル袋の単価低減,Phase 2,,,
239,7. コスト,7-3. 包材コスト,化粧箱の仕様簡素化,初期は過剰品質の可能性。必要十分に,Phase 1,,,
240,7. コスト,7-3. 包材コスト,茶筅の調達先見直し,複数サプライヤー比較。中国OEM以外の選択肢も,Phase 1,,,
241,7. コスト,7-4. 物流コスト,配送業者の法人契約,ヤマト / 佐川との法人契約で単価低減,Phase 1,,,
242,7. コスト,7-4. 物流コスト,3PL導入による効率化,月100件超で検討。ロジモプロ・オープンロジ等,Phase 2,,,
243,7. コスト,7-4. 物流コスト,倉庫の集約,OEM→倉庫→発送を一拠点に。ハンドリング削減,Phase 2,,,
244,7. コスト,7-4. 物流コスト,まとめ発送の促進,隔月プランで1回あたりの量を増やし配送回数削減,Phase 1,,,
245,7. コスト,7-5. オペレーションコスト,受注〜発送の自動化,Shopify→配送ラベル自動印刷。手作業削減,Phase 1,,,
246,7. コスト,7-5. オペレーションコスト,FAQ / チャットボット化,カスタマーサポートの自動化。問い合わせ対応時間削減,Phase 1,,,
247,7. コスト,7-5. オペレーションコスト,定型業務の外注（VA / アシスタント）,梱包・SNS運用等の定型作業を委託,Phase 2,,,
248,7. コスト,7-5. オペレーションコスト,会計・経理の自動化,freee / マネーフォワード等で自動化,Phase 1,,,
249,8. 資金,8-1. 自己資金・売上,ブートストラップ（自己資金で始める）,外部資本なしで開始。意思決定の自由度最大,Phase 1,,,
250,8. 資金,8-1. 自己資金・売上,プリセールス / 予約販売,在庫リスクなしでキャッシュ先取り。需要検証にもなる,Phase 1,,,
251,8. 資金,8-2. クラウドファンディング,Makuake,日本最大。プロダクト系に強い。PR効果も,Phase 1,,,
252,8. 資金,8-2. クラウドファンディング,CAMPFIRE,Makuakeに次ぐ規模。支援者コミュニティが活発,Phase 1,,,
253,8. 資金,8-2. クラウドファンディング,Kickstarter,海外向け。グローバルブランドとしてのローンチに,Phase 2,,,
254,8. 資金,8-2. クラウドファンディング,Indiegogo,Kickstarterの補完。InDemand機能で継続販売も可能,Phase 2,,,
255,8. 資金,8-3. 融資,日本政策金融公庫（創業融資）,低金利。創業時の最も一般的な資金調達手段,Phase 1,,,
256,8. 資金,8-3. 融資,信用金庫 / 地方銀行,地域密着型。事業計画をしっかり作れば融資可能,Phase 1,,,
257,8. 資金,8-3. 融資,マイクロファイナンス,少額融資。初期の運転資金に,Phase 1,,,
258,8. 資金,8-4. 補助金・助成金,小規模事業者持続化補助金,販路開拓費用の2/3（上限50-200万円）を補助,Phase 1,,,
259,8. 資金,8-4. 補助金・助成金,ものづくり補助金,製造設備投資の補助。製粉設備等に活用可能,Phase 2,,,
260,8. 資金,8-4. 補助金・助成金,IT導入補助金,EC構築費用の補助。Shopify構築等に活用,Phase 1,,,
261,8. 資金,8-4. 補助金・助成金,各自治体の創業支援補助金,居住地の自治体による創業支援。要確認,Phase 1,,,
262,8. 資金,8-4. 補助金・助成金,JETRO支援,海外展開時の各種支援。展示会出展補助等,Phase 2,,,
263,8. 資金,8-5. エクイティ,エンジェル投資家,初期段階の資金＋メンタリング＋ネットワーク,Phase 1,,,
264,8. 資金,8-5. エクイティ,シードVC,数千万円規模の調達。成長加速,Phase 2,,,
265,8. 資金,8-5. エクイティ,事業会社のCVC,食品・飲料メーカー系。戦略的シナジー,Phase 2,,,
266,8. 資金,8-5. エクイティ,アクセラレーター,Y Combinator・Open Network Lab等。メンタリング＋資金＋ネットワーク,Phase 1,,,
267,8. 資金,8-6. 戦略的提携,茶業者との資本業務提携,原料安定確保＋資金。サプライチェーン強化,Phase 2,,,
268,8. 資金,8-6. 戦略的提携,食品大手との提携,製造・物流の共有。スケール支援,Phase 3,,,
269,8. 資金,8-6. 戦略的提携,海外ディストリビューターとの提携,現地展開の資金・ノウハウ・販路,Phase 2,,,
270,9. 事業構造,9. 事業構造そのものを変える,フランチャイズモデル（抹茶カフェのFC展開）,自社で全店舗運営せずFC加盟店で展開。資本効率高い,Phase 3,,,
271,9. 事業構造,9. 事業構造そのものを変える,他の茶ブランドのM&A / 買収,顧客基盤・販路・ブランドの一括取得,Phase 3,,,
272,9. 事業構造,9. 事業構造そのものを変える,農園の取得 / 自社農園,垂直統合の最上流。品質の完全コントロール,Phase 3,,,
273,9. 事業構造,9. 事業構造そのものを変える,製粉工場の取得 / 自社製粉,品質管理＋コスト構造の改善。鮮度保証の強化,Phase 3,,,
274,9. 事業構造,9. 事業構造そのものを変える,カフェ業態への参入,Blank Street型の低コスト小型店舗。ブランド体験の最高峰,Phase 3,,,
275,9. 事業構造,9. 事業構造そのものを変える,抹茶スタンド（テイクアウト専門の極小店舗）,カフェより低リスク。3-5坪で成立,Phase 2,,,
276,9. 事業構造,9. 事業構造そのものを変える,卸売専業の別法人 / ブランド,B2B卸をD2Cブランドから分離。ブランド毀損防止,Phase 3,,,
277,9. 事業構造,9. 事業構造そのものを変える,プライベートブランド供給,コンビニPB等に抹茶を供給。ボリュームは出るが利益率低い,Phase 3,,,
278,9. 事業構造,9. 事業構造そのものを変える,海外法人設立（US / EU）,現地で在庫・発送。関税・物流コストの最適化,Phase 3,,,
279,9. 事業構造,9. 事業構造そのものを変える,合弁会社（現地パートナーとJV）,海外展開を現地パートナーと共同で。リスク分散,Phase 3,,,
280,9. 事業構造,9. 事業構造そのものを変える,マーケットプレイス化,自社ECに他の茶ブランドも出店させる。プラットフォーム収益,Phase 3,,,
281,9. 事業構造,9. 事業構造そのものを変える,抹茶サブスクプラットフォーム化,複数ブランドの抹茶を扱うセレクト型。PostCoffeeモデルの拡張,Phase 3,,,
282,9. 事業構造,9. 事業構造そのものを変える,データ事業,消費者の味覚データ・トレンドデータの販売・活用,Phase 3,,,
